"","What.age.group.do.you.fall.into.","What.platforms.are.you.using.for.development.","year"
"1","50-60","Linux","2018"
"2","<18","Linux","2018"
"3","18-30","Linux","2018"
"4","18-30","Linux","2018"
"5","40-50","Windows;Linux","2018"
"6","18-30","Linux","2018"
"7","30-40","Windows","2018"
"8","30-40","Linux","2018"
"9","30-40","Windows;Linux","2018"
"10","18-30","Linux","2018"
"11","18-30","Linux","2018"
"12","40-50","Windows;Linux","2018"
"13","<18","","2018"
"14","40-50","Linux","2018"
"15","40-50","Linux","2018"
"16","30-40","Linux;Mac","2018"
"17","40-50","Windows;Linux","2018"
"18","30-40","Linux","2018"
"19","18-30","Linux","2018"
"20","30-40","Linux","2018"
"21","50-60","Linux;Mac","2018"
"22","18-30","Linux","2018"
"23","18-30","Linux","2018"
"24","50-60","Linux","2018"
"25","30-40","Windows","2018"
"26","40-50","Linux","2018"
"27","50-60","Linux;Mac","2018"
"28","30-40","Linux","2018"
"29","50-60","Linux","2018"
"30","50-60","Linux;Mac;*BSD","2018"
"31","50-60","Linux","2018"
"32","30-40","Linux;Mac","2018"
"33","40-50","Linux","2018"
"34","50-60","Linux","2018"
"35","50-60","Windows;Linux","2018"
"36","50-60","Linux","2018"
"37",">60","Windows;Linux;Mac","2018"
"38","30-40","Windows;Linux;*BSD;AIX","2018"
"39","40-50","Windows;Linux","2018"
"40","30-40","Linux;Mac","2018"
"41","30-40","Linux","2018"
"42","<18","Linux","2018"
"43","40-50","Linux","2018"
"44","40-50","Linux;Mac","2018"
"45","30-40","Mac","2018"
"46","30-40","Windows;Linux;Raspberry Pi (though it's still Linux, I guess; Raspbian)","2018"
"47","40-50","*BSD","2018"
"48","40-50","Windows;Linux","2018"
"49","30-40","Mac","2018"
"50","40-50","Linux","2018"
"51","40-50","Windows;Linux","2018"
"52","18-30","Linux","2018"
"53","18-30","Windows;Linux;*BSD","2018"
"54","40-50","Linux;*BSD","2018"
"55","40-50","Mac","2018"
"56","40-50","Linux","2018"
"57","18-30","Windows;Linux;Mac;*BSD","2018"
"58","30-40","Linux","2018"
"59","40-50","Linux","2018"
"60","18-30","Linux","2018"
"61","50-60","Linux","2018"
"62","18-30","Linux;Mac","2018"
"63","40-50","Linux","2018"
"64","40-50","Linux;Mac","2018"
"65","40-50","Linux","2018"
"66","50-60","Windows","2018"
"67","40-50","Linux","2018"
"68","30-40","Linux;Mac","2018"
"69","40-50","Linux;Mac","2018"
"70","40-50","*BSD;FreeBSD in VM on Windows (until I install FreeBSD on a disk)","2018"
"71","50-60","Linux","2018"
"72","50-60","Linux;Mac","2018"
"73","18-30","Windows;Linux","2018"
"74","30-40","Mac","2018"
"75","30-40","Linux","2018"
"76","30-40","Linux;*BSD","2018"
"77","18-30","Linux","2018"
"78","18-30","Linux","2018"
"79","18-30","Linux;*BSD","2018"
"80","30-40","Windows;Linux","2018"
"81",">60","Windows","2018"
"82",">60","Mac","2018"
"83","40-50","Linux","2018"
"84","30-40","Linux","2018"
"85","40-50","Windows;Linux","2018"
"86","30-40","Linux","2018"
"87","50-60","Linux;Mac","2018"
"88","40-50","Windows;Linux","2018"
